team,match,alliance,shelf,balls,hatches,climb,climb_assist_a,climb_assist_b,climb_was_assisted
4682,3,RED,0,0,0,NULL,0,0,0
3812,3,RED,1,1,1,P3,0,0,0
3812,3,RED,1,0,0,P3,0,0,0
4469,30,RED,0,3,2,P3,0,0,0
4469,30,RED,1,2,3,P3,0,0,0
4309,30,RED,1,3,2,P3,0,0,0
4309,30,RED,0,2,3,P3,0,0,0
360,30,RED,1,3,2,NULL,0,0,0
360,30,RED,1,2,3,P12,0,0,0
4089,31,RED,0,3,3,P3,0,0,0
4089,31,RED,0,2,3,P12,0,0,0
4512,31,RED,0,3,3,P3,0,0,0
4512,31,RED,1,2,3,P3,0,0,0
3812,31,RED,1,3,3,P12,0,0,0
3812,31,RED,1,2,3,P3,0,0,0
7627,32,RED,1,3,0,P3,0,0,0
7627,32,RED,0,3,5,P3,0,0,0
1778,32,RED,0,3,0,NULL,0,0,0
1778,32,RED,0,3,5,P3,0,0,0
2910,32,RED,0,3,0,P3,0,0,0
2910,32,RED,0,3,5,P12,0,0,0
3663,33,RED,0,1,1,NULL,0,0,0
3663,33,RED,1,4,1,P3,0,0,0
4683,33,RED,1,1,1,NULL,0,0,0
4683,33,RED,1,4,1,P3,0,0,0
2930,33,RED,1,1,1,P3,0,0,0
2930,33,RED,0,4,1,P3,0,0,0
5683,34,RED,1,2,1,NULL,0,0,0
5683,34,RED,0,3,2,P3,0,0,0
2903,34,RED,0,2,1,NULL,0,0,0
2903,34,RED,0,3,2,NULL,0,0,0
3268,34,RED,1,2,1,P6,0,0,0
3268,34,RED,1,3,2,P3,0,0,0
5295,35,RED,0,3,2,P3,0,0,0
5295,35,RED,0,0,1,P3,0,0,0
2980,35,RED,1,3,2,P3,0,0,0
2980,35,RED,0,0,1,NULL,0,0,0
1778,35,RED,1,3,2,P3,0,0,0
1778,35,RED,0,0,1,NULL,0,0,0
4089,36,RED,1,2,2,P3,0,0,0
4089,36,RED,0,1,3,P3,0,0,0
1983,36,RED,0,2,2,P3,0,0,0
1983,36,RED,1,1,3,P12,0,0,0
4309,36,RED,1,2,2,P12,0,0,0
4309,36,RED,0,1,3,P3,0,0,0
3826,37,RED,0,1,3,NULL,0,0,0
3826,37,RED,1,1,2,P3,0,0,0
360,37,RED,0,1,3,P3,0,0,0
360,37,RED,1,1,2,P12,0,0,0
949,37,RED,0,1,3,P3,0,0,0
949,37,RED,0,1,2,NULL,0,0,0
3219,38,RED,0,2,1,P3,0,0,0
3219,38,RED,1,3,2,NULL,0,0,0
3049,38,RED,1,2,1,NULL,0,0,0
3049,38,RED,0,3,2,P3,0,0,0
2928,38,RED,1,2,1,P6,0,0,0
2928,38,RED,1,3,2,P3,0,0,0
5683,39,RED,1,1,2,P3,0,0,0
5683,39,RED,0,1,3,NULL,0,0,0
7627,39,RED,0,1,2,P3,0,0,0
7627,39,RED,0,1,3,P3,0,0,0
3786,39,RED,0,1,2,NULL,0,0,0
3786,39,RED,0,1,3,P3,0,0,0
4512,4,RED,1,1,1,P3,0,0,0
4512,4,RED,1,1,4,P3,0,0,0
4513,4,RED,1,1,1,NULL,0,0,0
4513,4,RED,0,1,4,P3,0,0,0
3826,4,RED,0,1,1,NULL,0,0,0
3826,4,RED,1,1,4,P3,0,0,0
2147,40,RED,0,4,5,P3,0,0,0
2147,40,RED,1,6,3,P6,0,0,0
4173,40,RED,0,4,5,P12,0,0,0
4173,40,RED,0,6,3,NULL,0,0,0
2930,40,RED,0,4,5,P3,0,0,0
